Date|1 AUD|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|1 SEK|1 SGD|100 THB|100 TRY|1 USD|1 XDR|1 ZAR
02.01.2026|13.797|3.789|15.014|25.997|2.947|3.236|24.170|27.718|2.645|6.304|1.233|6.492|22.855|16.398|13.141|1.426|1.149|5.084|2.046|11.892|35.025|5.739|4.742|2.235|16.025|65.682|48.033|20.611|28.227|1.249
05.01.2026|13.835|3.807|15.036|26.063|2.970|3.239|24.195|27.880|2.664|6.291|1.239|6.565|22.973|16.415|13.226|1.433|1.151|5.093|2.053|11.925|35.107|5.737|4.756|2.243|16.110|66.101|48.189|20.742|28.385|1.258
06.01.2026|13.895|3.837|15.004|26.062|2.960|3.238|24.195|27.931|2.654|6.283|1.234|6.535|22.928|16.437|13.213|1.427|1.151|5.107|2.063|11.964|34.902|5.747|4.754|2.248|16.149|66.110|48.020|20.670|28.256|1.261
07.01.2026|13.986|3.858|15.053|26.093|2.971|3.249|24.280|28.022|2.668|6.304|1.238|6.543|23.124|16.495|13.278|1.436|1.156|5.119|2.065|12.023|35.027|5.761|4.771|2.261|16.213|66.314|48.266|20.774|28.433|1.263
08.01.2026|13.919|3.864|14.993|26.057|2.977|3.247|24.265|27.935|2.667|6.306|1.238|6.556|23.115|16.484|13.263|1.431|1.157|5.116|2.058|11.952|35.129|5.764|4.768|2.254|16.184|65.910|48.281|20.785|28.424|1.259
09.01.2026|13.955|3.881|15.057|26.141|2.994|3.257|24.340|28.062|2.681|6.307|1.244|6.623|23.174|16.513|13.266|1.433|1.160|5.131|2.067|11.969|35.301|5.777|4.781|2.265|16.243|66.443|48.575|20.903|28.567|1.262
12.01.2026|13.951|3.871|14.974|26.076|2.979|3.250|24.285|27.993|2.664|6.278|1.234|6.587|23.035|16.498|13.166|1.417|1.160|5.113|2.068|11.980|34.970|5.769|4.773|2.269|16.171|66.548|48.156|20.770|28.346|1.268
13.01.2026|13.938|3.865|14.992|26.044|2.983|3.245|24.250|28.003|2.667|6.270|1.234|6.605|23.061|16.542|13.098|1.411|1.162|5.128|2.063|11.982|34.995|5.758|4.764|2.264|16.159|66.120|48.211|20.807|28.432|1.264
14.01.2026|13.908|3.881|15.013|26.013|2.987|3.248|24.270|27.998|2.671|6.273|1.235|6.590|23.063|16.578|13.133|1.412|1.169|5.146|2.068|11.956|35.028|5.754|4.769|2.263|16.174|66.180|48.249|20.830|28.446|1.270
15.01.2026|13.963|3.879|15.023|26.065|2.998|3.249|24.275|27.982|2.678|6.295|1.237|6.619|23.117|16.581|13.168|1.422|1.174|5.151|2.072|11.989|35.098|5.768|4.770|2.269|16.217|66.523|48.397|20.884|28.505|1.275
16.01.2026|14.004|3.893|15.054|26.075|3.000|3.251|24.285|28.004|2.681|6.300|1.238|6.639|23.043|16.588|13.225|1.419|1.183|5.153|2.073|12.040|35.204|5.748|4.770|2.266|16.233|66.471|48.319|20.908|28.521|1.276
19.01.2026|14.006|3.894|15.042|26.171|2.999|3.251|24.290|28.010|2.678|6.291|1.233|6.608|22.979|16.614|13.222|1.418|1.185|5.150|2.071|12.085|35.130|5.750|4.770|2.263|16.251|66.846|48.253|20.883|28.481|1.272
20.01.2026|13.966|3.846|15.011|26.261|2.982|3.257|24.335|27.894|2.661|6.307|1.224|6.547|22.807|16.645|13.143|1.405|1.177|5.117|2.077|12.107|34.994|5.756|4.779|2.272|16.173|66.756|47.932|20.748|28.297|1.262
